,player_name,firstname,surname,firstname_lower,surname_lower,firstname_upper,surname_upper
59,Callum Robinson,Callum,Robinson,callum,robinson,CALLUM,ROBINSON
60,Callum Wilson,Callum,Wilson,callum,wilson,CALLUM,WILSON
61,Calum Chambers,Calum,Chambers,calum,chambers,CALUM,CHAMBERS
62,Cameron Carter-Vickers,Cameron,Carter-Vickers,cameron,carter-vickers,CAMERON,CARTER-VICKERS
63,Cedric Kipre,Cedric,Kipre,cedric,kipre,CEDRIC,KIPRE
64,Cenk Tosun,Cenk,Tosun,cenk,tosun,CENK,TOSUN
65,Charlie Austin,Charlie,Austin,charlie,austin,CHARLIE,AUSTIN
66,Cheikhou Kouyaté,Cheikhou,Kouyaté,cheikhou,kouyaté,CHEIKHOU,KOUYATÉ
67,Che Adams,Che,Adams,che,adams,CHE,ADAMS
68,Christian Atsu,Christian,Atsu,christian,atsu,CHRISTIAN,ATSU
69,Christian Benteke,Christian,Benteke,christian,benteke,CHRISTIAN,BENTEKE
70,Christian Fuchs,Christian,Fuchs,christian,fuchs,CHRISTIAN,FUCHS
71,Christian Pulisic,Christian,Pulisic,christian,pulisic,CHRISTIAN,PULISIC
72,Christian Walton,Christian,Walton,christian,walton,CHRISTIAN,WALTON
73,Chris Basham,Chris,Basham,chris,basham,CHRIS,BASHAM
74,Ciaran Clark,Ciaran,Clark,ciaran,clark,CIARAN,CLARK
75,Connor Wickham,Connor,Wickham,connor,wickham,CONNOR,WICKHAM
76,Conor Coady,Conor,Coady,conor,coady,CONOR,COADY
77,Conor Townsend,Conor,Townsend,conor,townsend,CONOR,TOWNSEND
78,Curtis Jones,Curtis,Jones,curtis,jones,CURTIS,JONES
79,Cyrus Christie,Cyrus,Christie,cyrus,christie,CYRUS,CHRISTIE
80,Cédric Soares,Cédric,Soares,cédric,soares,CÉDRIC,SOARES
81,César Azpilicueta,César,Azpilicueta,césar,azpilicueta,CÉSAR,AZPILICUETA
82,Dale Stephens,Dale,Stephens,dale,stephens,DALE,STEPHENS
83,Daniel Amartey,Daniel,Amartey,daniel,amartey,DANIEL,AMARTEY
84,Daniel Castelo Podence,Daniel,Castelo,daniel,castelo,DANIEL,CASTELO
